Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume
2019-09-29,0.03103,0.044,0.03103,0.03556,25899875.5,2019-09-29 23:59:59.999000064,943843.447288,4823,10975605.0,398123.483782
2019-09-30,0.03555,0.04745,0.03481,0.0378,40937695.7,2019-09-30 23:59:59.999000064,1642746.586428,8563,15438187.5,614657.555971
2019-10-01,0.03799,0.04,0.03692,0.03876,16982421.3,2019-10-01 23:59:59.999000064,651885.137224,4365,7949091.2,307178.30887
2019-10-02,0.0389,0.03967,0.03553,0.0375,8858024.3,2019-10-02 23:59:59.999000064,328576.850758,2538,3565950.9,132604.999135
2019-10-03,0.0375,0.04025,0.03557,0.0375,8395022.7,2019-10-03 23:59:59.999000064,317023.974246,2906,3382744.9,129642.106329
2019-10-04,0.03744,0.039,0.03622,0.0386,5552424.0,2019-10-04 23:59:59.999000064,208891.612281,2384,2686508.4,101376.880316
2019-10-05,0.0386,0.04236,0.03829,0.04193,13216832.4,2019-10-05 23:59:59.999000064,537203.006583,5825,6473342.1,263101.10864
2019-10-06,0.04177,0.0426,0.03736,0.03804,6661246.3,2019-10-06 23:59:59.999000064,262688.810204,2687,2408307.9,95242.897301
2019-10-07,0.03804,0.03934,0.03604,0.03813,9975507.9,2019-10-07 23:59:59.999000064,374751.654688,2450,4099887.3,154422.828094
2019-10-08,0.03823,0.0393,0.03712,0.03888,5082658.0,2019-10-08 23:59:59.999000064,194256.324971,1347,2469293.1,94673.968226
2019-10-09,0.03888,0.04001,0.03839,0.03891,5369584.9,2019-10-09 23:59:59.999000064,209806.822921,1795,2685905.2,105132.667361
2019-10-10,0.03909,0.0391,0.03697,0.03835,5553539.6,2019-10-10 23:59:59.999000064,209766.578387,1647,1963572.2,74204.280934
2019-10-11,0.03815,0.03815,0.03523,0.03595,7197048.8,2019-10-11 23:59:59.999000064,261046.866768,1673,3262221.8,118240.678293
2019-10-12,0.03597,0.03625,0.03449,0.0351,4681412.7,2019-10-12 23:59:59.999000064,165597.464718,1088,2213299.6,78505.778326
2019-10-13,0.03513,0.03548,0.03299,0.03306,2829724.0,2019-10-13 23:59:59.999000064,96929.207177,865,1127592.7,38655.861013
2019-10-14,0.03307,0.03827,0.03236,0.03698,10931050.7,2019-10-14 23:59:59.999000064,380222.281838,3053,5698960.3,197835.433069
2019-10-15,0.03691,0.04099,0.03568,0.03762,10069985.5,2019-10-15 23:59:59.999000064,377948.196346,3625,4188463.4,158373.684118
2019-10-16,0.03771,0.03873,0.035,0.03757,10018103.8,2019-10-16 23:59:59.999000064,370114.362295,3179,3937505.6,145373.079114
2019-10-17,0.03743,0.03743,0.03381,0.03508,8252817.3,2019-10-17 23:59:59.999000064,289172.283296,2083,3138694.6,109898.625973
2019-10-18,0.03508,0.03609,0.03336,0.03391,8054778.0,2019-10-18 23:59:59.999000064,277768.577819,2039,4046742.0,139472.807079
2019-10-19,0.03375,0.03425,0.03288,0.03344,3835529.8,2019-10-19 23:59:59.999000064,127884.707884,915,2077911.5,69171.783893
2019-10-20,0.03374,0.03416,0.03266,0.03321,4002699.9,2019-10-20 23:59:59.999000064,132833.261536,1130,1797455.6,59783.696818
2019-10-21,0.03324,0.03454,0.03287,0.03324,3050588.8,2019-10-21 23:59:59.999000064,103036.460493,1332,1275364.7,43185.200477
2019-10-22,0.0333,0.0337,0.03147,0.03154,10678714.4,2019-10-22 23:59:59.999000064,345859.354485,2425,3989733.6,129648.60168
