Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume
2019-08-21,2.3622,2.371,2.15,2.2054,4952696.55,2019-08-21 23:59:59.999000064,11108904.237859,27515,2069408.23,4631872.134922
2019-08-22,2.2058,2.2896,2.135,2.2227,2981137.74,2019-08-22 23:59:59.999000064,6619741.312981,20005,1384614.32,3078664.936899
2019-08-23,2.2231,2.295,2.1723,2.2333,4173130.85,2019-08-23 23:59:59.999000064,9343956.836114,26802,2034132.18,4557916.198525
2019-08-24,2.234,2.2545,2.1537,2.1681,1634146.8,2019-08-24 23:59:59.999000064,3584393.344388,12880,728129.65,1597733.171171
2019-08-25,2.1704,2.1804,2.0255,2.078,2772672.99,2019-08-25 23:59:59.999000064,5849427.106923,17646,1258796.15,2654285.99085
2019-08-26,2.0783,2.1546,2.045,2.0739,2291314.91,2019-08-26 23:59:59.999000064,4803942.752191,15387,998383.39,2095059.979402
2019-08-27,2.0737,2.1788,2.005,2.1128,3009068.12,2019-08-27 23:59:59.999000064,6305881.123432,20777,1507294.24,3158981.896998
2019-08-28,2.1098,2.1134,1.875,1.8957,3217225.93,2019-08-28 23:59:59.999000064,6406247.929481,20709,1357789.58,2699643.783055
2019-08-29,1.8956,1.8956,1.7253,1.7744,4211077.18,2019-08-29 23:59:59.999000064,7603993.455903,21640,1835595.46,3313788.463789
2019-08-30,1.7763,1.8913,1.7365,1.796,2660522.1,2019-08-30 23:59:59.999000064,4851727.818895,16311,1299217.91,2370579.223783
2019-08-31,1.7958,1.8535,1.74,1.7791,1831969.16,2019-08-31 23:59:59.999000064,3279132.271257,11731,919852.94,1647719.386056
2019-09-01,1.7788,1.8,1.717,1.7686,1332701.68,2019-09-01 23:59:59.999000064,2343808.993756,8320,640768.36,1128459.960153
2019-09-02,1.7696,1.89,1.7272,1.8287,3044387.69,2019-09-02 23:59:59.999000064,5527140.173787,16202,1506133.56,2739443.285705
2019-09-03,1.8307,1.9424,1.8147,1.849,3208754.39,2019-09-03 23:59:59.999000064,5997210.327933,18617,1506249.54,2815534.431094
